GeneID	Rank
C7	604
CAPN3	605
N4BP2L1	606
ZBTB16	607
AQP1	608
KDELR3	609
CSF3R	610
RFC4	611
ARHGEF26	612
RAP1A	613
CXCL2	614
HOOK1	615
LAGE3	616
ZNF331	617
MRGBP	618
SBSPON	619
ADH1A	620
KCNJ15	621
NDRG4	622
LONRF1	623
SORD	624
PIAS1	625
CKS1B	626
MNDA	627
LSAMP	628
SIRPB1	629
GAS7	630
KIF26B	631
FOSB	632
CIRBP	633
PLA1A	634
CCNE1	635
ABHD5	636
ZEB1	637
SULT1A2	638
KLF11	639
HSPD1	640
PDIA6	641
SYNE1	642
ADGRB3	643
TPPP	644
PLEK2	645
EMP3	646
STX2	647
SNX2	648
DKK3	649
IGFBP3	650
MOCS1	651
AUNIP	652
C1orf115	653
HPGD	654
CA2	655
COL3A1	656
MAD2L1	657
DKK2	658
NCF2	659
POLQ	660
CDK1	661
TUBB6	662
ERG	663
FAM184A	664
HELLS	665
SNRNP25	666
GARS	667
FERMT1	668
CDH3	669
PAFAH1B1	670
COASY	671
APOL3	672
ELMO1	673
SPAG4	674
GYPE	675
RNASEH2A	676
RUSC1	677
CDCA3	678
FAM134B	679
STK39	680
CBLC	681
OLFML2A	682
SEC14L1	683
NSUN5	684
SPG20	685
NEDD9	686
FUT2	687
NDNF	688
MYRF	689
TYROBP	690
LAMA4	691
MED8	692
HOXA4	693
HDGF	694
FAM64A	695
FPR1	696
CDKN1C	697
NUP155	698
ILF2	699
ZNF423	700
PLCE1	701
E2F3	702
CX3CR1	703
TEX14	704
DPP3	705
ASF1B	706
HYOU1	707
MDH2	708
GORASP2	709
RAB8B	710
SLC50A1	711
HK3	712
CNN1	713
KPNA2	714
ARHGEF3	715
TUBB3	716
JAM3	717
IL7R	718
PFKP	719
FAR2	720
SLC5A6	721
CANT1	722
KIF1C	723
KRT8	724
CHI3L2	725
VSTM4	726
MKI67	727
KIFC1	728
WWC3	729
TJP1	730
VAMP3	731
N4BP1	732
FBP1	733
KIF2A	734
RAB11FIP1	735
PPBP	736
EPS15	737
CCND3	738
TCF3	739
SRPRB	740
PAK1	741
LIFR	742
ORC5	743
PKMYT1	744
MRPS33	745
ADGRF5	746
S1PR4	747
MSRA	748
TSC22D1	749
F8	750
PDLIM1	751
CAMP	752
MTMR9	753
PKM	754
NET1	755
DUS4L	756
EXO1	757
MITF	758
RNF125	759
SPRYD7	760
SPC24	761
FLI1	762
CHAF1B	763
ALDOA	764
CD24	765
CCT6A	766
RRM2	767
SDCBP	768
AGTPBP1	769
PBK	770
KAT2A	771
SIRPA	772
UGGT1	773
TPSAB1	774
PTH1R	775
CTIF	776
PDS5B	777
CD300C	778
GATA6	779
SLCO2B1	780
CDC25C	781
GGTLC1	782
MRPS17	783
CD33	784
RS1	785
BPHL	786
NCBP2	787
TSTA3	788
EIF3B	789
PGC	790
TARP	791
NUDT1	792
SOBP	793
PLK1	794
LIN7A	795
MTX2	796
ODAM	797
MAGED1	798
HSDL2	799
PKIG	800
ANXA3	801
MORC2	802
FAM49A	803
MRTO4	804
GRIA1	805
PLOD2	806
GCNT3	807
JUND	808
PPP2R5A	809
SPAG5	810
ADGRE1	811
STON1	812
PDLIM2	813
CENPU	814
CASP1	815
COL5A2	816
MEF2A	817
RAD51AP1	818
NCOA1	819
ADTRP	820
TMEM140	821
ALG8	822
TTLL12	823
UBE2O	824
B4GAT1	825
CALU	826
EOGT	827
AGMAT	828
UBE2I	829
UST	830
PARVA	831
COL1A2	832
DIAPH2	833
MAP3K3	834
PRRG1	835
HERC1	836
TPK1	837
RSU1	838
PADI4	839
INPP1	840
CEBPD	841
ITGA1	842
PLA2G5	843
ID3	844
TTPAL	845
SRM	846
HBG2	847
SLC12A8	848
IQSEC1	849
COL4A3	850
AQP9	851
HCK	852
BYSL	853
GMNN	854
ID2	855
MTIF2	856
AHCY	857
IL6	858
HMBS	859
CTTN	860
IL18RAP	861
BUB1B	862
MTX1	863
CAB39L	864
SLC15A3	865
TLE4	866
FOXO1	867
CYB5R3	868
DSTN	869
CDC42EP2	870
DNPH1	871
ZHX3	872
DST	873
CBX3	874
MRPL24	875
GSN	876
WDR77	877
DOCK9	878
GMPPA	879
CRTAP	880
PLK4	881
LSR	882
ATAD2	883
NR3C2	884
SGCA	885
SLPI	886
SAR1B	887
LAMA2	888
GPR4	889
C8B	890
BMP2	891
SSR4	892
EGR2	893
GTSE1	894
KIF17	895
SORBS3	896
KIAA0907	897
COLGALT2	898
SERINC2	899
SNRPG	900
SH3BP5	901
DOCK4	902
GPRC5A	903
SOCS3	904
MCM7	905
AIMP2	906
ID4	907
PODXL2	908
BCL9	909
PZP	910
ETF1	911
FLRT3	912
ABCG1	913
IPO4	914
DPH2	915
IFNGR1	916
MTFR1	917
TACC3	918
MEA1	919
RNASE4	920
PUS7	921
TBC1D2B	922
OIP5	923
CAMK2N1	924
TFB2M	925
CD81	926
STK10	927
ADD1	928
INSIG1	929
FUT3	930
TLR8	931
RALGPS2	932
MED20	933
MCM6	934
EPN3	935
RBP4	936
CNPY2	937
MAOA	938
KLF10	939
PNRC2	940
SHFM1	941
CCSER2	942
EHD2	943
ACE	944
NME4	945
PALMD	946
BORA	947
GPI	948
AAMDC	949
SLC25A10	950
RACGAP1	951
CYP27B1	952
GYG2	953
SPDEF	954
NCALD	955
SERINC1	956
RPN2	957
TRIP13	958
CDK4	959
PLBD1	960
SPTAN1	961
EIF5	962
FHL2	963
TACO1	964
SEZ6L2	965
MMP9	966
HSD17B4	967
OASL	968
SIK2	969
LEPROT	970
CSNK1D	971
PDE8B	972
HPS5	973
MRPS16	974
CD69	975
METTL13	976
SULT1A1	977
NOTCH1	978
C1orf35	979
UBE2B	980
REEP5	981
MXRA7	982
TMEM106C	983
POLE2	984
