Gsdmd	4.91e-12
Gucy2c	4.97e-12
Ifi30	5.00E-12
Plau	4.95e-12
Serping1	5.27e-12
RGD1560208	5.37e-12
Thbs2	5.35e-12
Acat2l1	5.45e-12
Rhbdf2	5.6e-12
S100a4	5.69e-12
Gdf15	5.73e-12
Cyp51	5.79e-12
Pcolce	5.81e-12
Arpc1b	5.95e-12
Rcsd1	5.97e-12
C1qb	6.23e-12
A3galt2	6.48e-12
Ctsw	6.94e-12
Cyp1b1	7.00E-12
Fxyd5	7.03e-12
Itgb2	7.04e-12
Hmgcs1	7.73e-12
Vamp5	7.74e-12
Osr1	7.84e-12
Rab13	7.81e-12
Tspo	8.03e-12
Aif1	8.14e-12
Dhcr24	8.12e-12
Stom	8.38e-12
Cd6	8.52e-12
Fgl2	8.55e-12
Unc13d	8.49e-12
Cfh	8.72e-12
Slc39a6	8.89e-12
Mst1	9.03e-12
Hexa	9.29e-12
Nsdhl	9.44e-12
Slfn2	9.64e-12
Gpr65	9.97e-12
Ifitm3	1.00E-11
Ctrc	1.02e-11
Slc36a2	1.07e-11
Eif4ebp1	1.17e-11
Psme1	1.17e-11
Mvk	1.18e-11
Ptprv	1.19e-11
Fam107a	1.2e-11
Myo1f	1.23e-11
Ptpn6	1.25e-11
Tec	1.25e-11
Bcl3	1.32e-11
Rhoh	1.32e-11
Vamp8	1.37e-11
Mmp19	1.43e-11
Mrc1	1.45e-11
Pik3ap1	1.44e-11
Plekha4	1.44e-11
Scpep1	1.42e-11
Ifitm7	1.49e-11
Rasal3	1.54e-11
Ifitm2	1.59e-11
Kcnk13	1.62e-11
Dock8	1.68e-11
Mpeg1	1.72e-11
LOC365047	1.74e-11
Tbxas1	1.88e-11
Parp10	1.89e-11
Tifa	1.9e-11
Nucb2	1.91e-11
Sfrp5	1.95e-11
Syk	1.96e-11
Ctsa	2.03e-11
Lyz2	2.04e-11
Scamp2	2.01e-11
Tgfbr1	2.03e-11
Ncf1	2.09e-11
Insig1	2.1e-11
Mical1	2.15e-11
Cd34	2.19e-11
Slc22a18	2.19e-11
Fap	2.29e-11
Col6a2	2.31e-11
Abca1	2.32e-11
Crispld2	2.38e-11
Fgr	2.38e-11
Tgfb1	2.39e-11
Tspan4	2.42e-11
Hspb1	2.47e-11
Oaf	2.51e-11
Adcy4	2.52e-11
Rgs1	2.68e-11
Ncf4	2.76e-11
Copz2	2.86e-11
Lgmn	2.87e-11
Prrg4	3.02e-11
Arhgap10	3.08e-11
Dap	3.22e-11
Efemp2	3.24e-11
Cebpb	3.27e-11
Hsd17b1	3.52e-11
Fabp4	3.63e-11
Parp3	3.62e-11
Samsn1	3.62e-11
Folr2	3.69e-11
RGD1564614	3.7e-11
Neto2	3.79e-11
Fdft1	3.86e-11
Nr1h3	3.85e-11
Ppic	3.84e-11
Psmb9	3.93e-11
Pttg1ip	4.12e-11
Htr2b	4.19e-11
