Tmem106a	1.43e-11
Pros1	1.48e-11
Arpc1b	1.53e-11
Cd1d1	1.54e-11
Mst1	1.53e-11
Mvk	1.52e-11
Scpep1	1.57e-11
Abca1	1.66e-11
Anpep	1.78e-11
Samsn1	1.85e-11
Cd109	1.89e-11
Bcl3	1.92e-11
Hexa	1.92e-11
Eif4ebp1	2.05e-11
Hsd17b1	2.07e-11
Mrc1	2.06e-11
Scamp2	2.03e-11
Thbs2	2.06e-11
Serping1	2.09e-11
Tnfaip8l2	2.09e-11
Col15a1	2.14e-11
Insig1	2.14e-11
Cd40	2.17e-11
Timp2	2.2e-11
Rab13	2.22e-11
Gsdmd	2.29e-11
Ahnak	2.33e-11
Stap1	2.54e-11
Trib3	2.55e-11
Slc36a2	2.64e-11
Mical1	2.66e-11
Pik3ap1	2.7e-11
Arhgap9	2.81e-11
Dhcr24	2.89e-11
Mmp8	2.94e-11
Usp31	2.95e-11
Lst1	2.97e-11
Cd86	3.03e-11
Plxnc1	3.11e-11
Traf3ip3	3.16e-11
Trim47	3.23e-11
Folr2	3.31e-11
Pcolce	3.33e-11
Fut4	3.36e-11
Hmgcs1	3.47e-11
Aldh2	3.56e-11
Fap	3.6e-11
Ifitm3	3.63e-11
Cfh	3.7e-11
Fuca1	3.73e-11
Rbp1	3.81e-11
Htr2b	3.92e-11
Acp5	3.96e-11
Plekha4	4.15e-11
Acat2l1	4.42e-11
Ctsa	4.44e-11
Ncf4	4.43e-11
Psme1	4.39e-11
Gadd45g	4.69e-11
Ifitm2	4.75e-11
Vamp5	5.06e-11
Slc2a9	5.16e-11
Mlkl	5.18e-11
Lgmn	5.29e-11
Loxl1	5.27e-11
Ptpn7	5.6e-11
Smagp	5.59e-11
Pttg1ip	5.63e-11
Nr1h3	5.7e-11
Prrg4	5.71e-11
Nsdhl	5.74e-11
Tlr6	5.8e-11
Cyp51	5.91e-11
Ptprv	6.01e-11
Hexb	6.08e-11
Tlr4	6.16e-11
Fgl2	6.23e-11
Cebpb	6.29e-11
Nucb2	6.48e-11
Ly86	6.6e-11
Tmem140	7.2e-11
Ifitm7	7.46e-11
Il13ra1	7.5e-11
Sin3b	7.76e-11
Anxa5	9.09e-11
Slitrk6	9.12e-11
Il1r2	9.56e-11
Scube1	9.59e-11
Tifa	9.67e-11
RGD1560687	9.89e-11
Npc2	1.12e-10
A3galt2	1.15e-10
Ctss	1.16e-10
Capg	1.19e-10
Pf4	1.19e-10
Btk	1.2e-10
Hsd17b7	1.24e-10
Rhebl1	1.28e-10
Tnfsf4	1.28e-10
Nckap1l	1.29e-10
Fdft1	1.3e-10
Vamp8	1.31e-10
Ctsw	1.32e-10
Dab2	1.33e-10
Nat1	1.34e-10
Edem1	1.42e-10
Treml1	1.41e-10
Ggta1	1.48e-10
Ifi47	1.53e-10
Pmvk	1.58e-10
Tspan4	1.64e-10
Cdk6	1.66e-10
RGD1564614	1.67e-10
Lrrk1	1.68e-10
C1qc	1.71e-10
Parp9	1.73e-10
Tep1	1.81e-10
RGD1563222	1.83e-10
Lrrfip1	1.91e-10
Slc43a3	1.93e-10
Gch1	1.94e-10
Pdlim2	1.98e-10
Ankle1	1.99e-10
Ppic	2.09e-10
Rgs14	2.1e-10
Parp10	2.13e-10
Psmb9	2.18e-10
C3ar1	2.19e-10
Cd72	2.2e-10
Fxyd5	2.2e-10
Extl2	2.27e-10
Akr1b8	2.34e-10
Gna15	2.47e-10
Lgals3	2.47e-10
Hgf	2.65e-10
Mboat1	2.66e-10
Dap	2.72e-10
Olr1	2.74e-10
Ugt1a2	2.75e-10
Col1a1	2.79e-10
Hmgcr	2.9e-10
Lbp	2.93e-10
Man2b2	2.93e-10
Col6a2	3,00E-10
Arhgap22	3.03e-10
Entpd1	3.05e-10
RT1-A2	3.05e-10
Sh3tc1	3.15e-10
Bmf	3.33e-10
Oaf	3.52e-10
Unc93b1	3.68e-10
Ccl2	3.76e-10
Dnajb13	3.86e-10
Nid2	3.85e-10
Lpxn	3.98e-10
Klf6	4.03e-10
Eya2	4.18e-10
Alox12	4.22e-10
Slc16a7	4.22e-10
Pdpn	4.24e-10
Tnip2	4.43e-10
