"Gene"	"logFC"	"CI.L"	"CI.R"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"se.coef"
"RGD1564447"	0.584	0.448	0.721	14.936	9.054	6.8e-08	5.37e-07	0.298
"Sgcd"	2.168	1.663	2.674	6.567	9.054	6.8e-08	5.37e-07	0.127
"Prr12"	1.021	0.783	1.259	8.473	9.052	6.82e-08	5.38e-07	0.091
"Eny2"	-0.747	-0.921	-0.573	8.405	-9.051	6.83e-08	5.39e-07	0.262
"Agpat4"	-0.783	-0.965	-0.6	16.211	-9.05	6.84e-08	5.4e-07	0.19
"Creg1"	1.667	1.278	2.056	11.85	9.045	6.89e-08	5.44e-07	0.09
"Syt12"	-2.432	-3	-1.864	8.432	-9.043	6.91e-08	5.44e-07	0.097
"Aox3"	2.306	1.768	2.844	5.587	9.043	6.92e-08	5.45e-07	0.214
"NEWGENE_6497122"	-1.583	-1.953	-1.214	11.642	-9.039	6.96e-08	5.48e-07	0.095
"Abcg3l1"	0.835	0.64	1.031	10.107	9.038	6.97e-08	5.48e-07	0.09
"Fez1"	-0.961	-1.185	-0.736	15.509	-9.035	7.01e-08	5.51e-07	0.119
"Pnkd"	-1.014	-1.251	-0.777	9.858	-9.034	7.01e-08	5.51e-07	0.232
"Rgs8"	-1.533	-1.891	-1.175	5.766	-9.034	7.01e-08	5.51e-07	0.18
"Gstm2"	2.845	2.18	3.51	8.258	9.033	7.02e-08	5.51e-07	0.345
"Ddost"	0.98	0.751	1.209	13.839	9.032	7.03e-08	5.51e-07	0.09
"LOC691995"	-1.623	-2.002	-1.244	14.93	-9.032	7.03e-08	5.51e-07	0.45
"Hdac1"	0.838	0.642	1.034	12.27	9.032	7.04e-08	5.52e-07	0.07
"Plekho1"	1.108	0.849	1.367	12.616	9.031	7.04e-08	5.52e-07	0.064
"Mapk12"	-0.865	-1.068	-0.663	8.233	-9.03	7.06e-08	5.53e-07	0.18
"Dennd2c"	1.771	1.357	2.185	4.711	9.029	7.06e-08	5.53e-07	0.254
"Ola1"	-0.764	-0.943	-0.586	11.773	-9.029	7.06e-08	5.53e-07	0.17
"Camkv"	-1.557	-1.922	-1.193	11.808	-9.023	7.13e-08	5.57e-07	0.052
"Napsa"	4.426	3.391	5.461	9.257	9.023	7.13e-08	5.57e-07	0.156
"Mgst1"	1.099	0.842	1.356	12.824	9.021	7.16e-08	5.59e-07	0.115
"Cebpg"	0.916	0.702	1.13	8.751	9.019	7.18e-08	5.6e-07	0.493
"Cited1"	-1.541	-1.901	-1.18	9.695	-9.018	7.2e-08	5.61e-07	0.1
"Slc31a1"	0.975	0.747	1.204	9.863	9.018	7.19e-08	5.61e-07	0.141
"Syt16"	-1.77	-2.185	-1.356	5.918	-9.013	7.25e-08	5.65e-07	0.121
"Cblb"	1.239	0.949	1.53	10.096	9.012	7.26e-08	5.66e-07	0.267
"LOC500124"	-1.072	-1.324	-0.821	4.921	-9.011	7.27e-08	5.66e-07	0.187
"Moxd1"	2.461	1.885	3.038	5.791	9.011	7.27e-08	5.66e-07	0.223
"Kcnip1"	-1.607	-1.984	-1.231	6.54	-9.011	7.27e-08	5.66e-07	0.07
"Dlg4"	-0.995	-1.228	-0.762	7.588	-9.004	7.36e-08	5.72e-07	0.31
"Mras"	-1.098	-1.356	-0.841	13.161	-9.001	7.39e-08	5.74e-07	0.174
"Olig1"	-0.953	-1.176	-0.729	14.939	-9.001	7.38e-08	5.74e-07	0.426
"Tmem70"	-0.693	-0.855	-0.53	9.661	-8.998	7.42e-08	5.76e-07	0.135
"Derl1"	0.845	0.647	1.043	10.917	8.995	7.45e-08	5.78e-07	0.141
"Fbxo5"	1.477	1.131	1.824	6.123	8.995	7.45e-08	5.78e-07	0.092
"Ldb3"	-1.208	-1.491	-0.924	6.71	-8.991	7.5e-08	5.81e-07	0.146
"Fbln5"	1.266	0.969	1.563	6.386	8.99	7.51e-08	5.82e-07	0.064
"Asb3"	-0.792	-0.978	-0.606	7.911	-8.988	7.54e-08	5.83e-07	0.117
"Fcho1"	-1.545	-1.908	-1.182	6.669	-8.988	7.54e-08	5.83e-07	0.124
"RGD1565844"	-1.346	-1.662	-1.03	7.043	-8.988	7.53e-08	5.83e-07	0.327
"Spin1"	0.765	0.586	0.945	10.215	8.988	7.54e-08	5.83e-07	0.164
"Dcx"	-0.805	-0.994	-0.616	10.183	-8.986	7.56e-08	5.84e-07	0.289
"P2rx4"	1.897	1.451	2.343	9.901	8.979	7.64e-08	5.9e-07	0.106
"Mdm2"	0.563	0.43	0.695	9.425	8.978	7.66e-08	5.91e-07	0.12
"Capzb"	0.768	0.587	0.948	13.224	8.976	7.68e-08	5.92e-07	0.051
"Asb15"	-1.484	-1.833	-1.135	3.977	-8.973	7.72e-08	5.95e-07	0.058
"Gadd45a"	1.528	1.168	1.887	13.187	8.972	7.72e-08	5.95e-07	0.101
"Mdga2"	-1.368	-1.69	-1.046	9.202	-8.967	7.8e-08	6e-07	0.095
"Xk"	-0.681	-0.842	-0.521	8.955	-8.966	7.81e-08	6.01e-07	0.082
"Ubxn11"	-0.78	-0.964	-0.596	7.811	-8.965	7.82e-08	6.01e-07	0.106
"Cfp"	2.396	1.832	2.96	10.338	8.964	7.83e-08	6.02e-07	0.083
"Mc4r"	-1.731	-2.138	-1.323	6.11	-8.962	7.86e-08	6.04e-07	0.155
"Camk1g"	-1.448	-1.789	-1.107	10.632	-8.96	7.88e-08	6.05e-07	0.069
"Cst7"	3.236	2.474	3.999	5.476	8.959	7.89e-08	6.06e-07	0.091
"Itpr3"	1.213	0.928	1.499	8.844	8.957	7.91e-08	6.07e-07	0.083
"Pctp"	1.321	1.01	1.633	9.983	8.953	7.96e-08	6.11e-07	0.292
"Hace1"	-1.041	-1.287	-0.796	7.885	-8.951	7.98e-08	6.12e-07	0.078
"Hcrtr2"	-2.436	-3.01	-1.862	5.949	-8.952	7.98e-08	6.12e-07	0.067
"Ncoa2"	-0.641	-0.792	-0.49	7.227	-8.951	7.99e-08	6.12e-07	0.223
"RGD1302996"	-0.96	-1.187	-0.734	11.853	-8.951	7.99e-08	6.12e-07	0.158
"Fzd1"	1.534	1.172	1.896	11.085	8.95	8.01e-08	6.13e-07	0.175
"Lrrc1"	-0.735	-0.909	-0.562	6.664	-8.948	8.03e-08	6.14e-07	0.133
"Pdss2"	-0.432	-0.533	-0.33	8.973	-8.946	8.05e-08	6.15e-07	0.103
"Spsb3"	-0.589	-0.729	-0.45	13.658	-8.942	8.1e-08	6.19e-07	0.102
"Zcchc17"	-0.664	-0.821	-0.507	12.837	-8.942	8.1e-08	6.19e-07	0.279
"Sirt5"	-0.991	-1.224	-0.757	12.775	-8.941	8.12e-08	6.2e-07	0.192
"Vstm2a"	-2.303	-2.847	-1.759	8.104	-8.937	8.17e-08	6.23e-07	0.166
"Trim37"	-0.799	-0.987	-0.61	10.006	-8.935	8.19e-08	6.25e-07	0.143
"Orc4"	-0.78	-0.965	-0.596	8.571	-8.934	8.2e-08	6.25e-07	0.073
"Zfp428"	-0.76	-0.939	-0.58	11.14	-8.933	8.22e-08	6.26e-07	0.086
"Cox5b"	-0.635	-0.785	-0.485	15.157	-8.929	8.28e-08	6.3e-07	0.115
"Mrs2"	-0.55	-0.68	-0.42	9.248	-8.928	8.28e-08	6.3e-07	0.088
"Ccdc102a"	0.661	0.505	0.817	11.043	8.926	8.32e-08	6.32e-07	0.092
"Scg2"	-1.166	-1.442	-0.891	10.994	-8.926	8.32e-08	6.32e-07	0.139
"Trim27"	1.018	0.778	1.259	8.778	8.925	8.32e-08	6.32e-07	0.174
"Zmat3"	-1.187	-1.468	-0.906	13.028	-8.924	8.34e-08	6.33e-07	0.058
"Cfl2"	-0.894	-1.106	-0.683	9.945	-8.923	8.35e-08	6.33e-07	0.155
"Plcd1"	1.189	0.908	1.471	10.308	8.924	8.34e-08	6.33e-07	0.119
"Havcr2"	1.083	0.827	1.339	6.142	8.921	8.37e-08	6.34e-07	0.181
