"Gene"	"logFC"	"CI.L"	"CI.R"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"se.coef"
"Lpar3"	1.405	0.901	1.909	4.804	5.882	1.85e-05	9.86e-05	0.082
"Midn"	0.508	0.325	0.69	10.099	5.881	1.85e-05	9.88e-05	0.144
"Tnmd"	-2.253	-3.062	-1.445	5.641	-5.881	1.85e-05	9.88e-05	0.114
"Tbce"	-0.4	-0.544	-0.257	10.5	-5.881	1.85e-05	9.88e-05	0.117
"Qpctl"	-0.499	-0.678	-0.32	12.257	-5.88	1.86e-05	9.89e-05	0.077
"Scg5"	-1.836	-2.495	-1.177	13.346	-5.879	1.86e-05	9.91e-05	0.198
"Fkbp11"	1.157	0.741	1.572	9.921	5.878	1.86e-05	9.91e-05	0.083
"Htr1f"	-0.868	-1.179	-0.556	4.018	-5.875	1.88e-05	9.97e-05	0.107
"Snf8"	-0.387	-0.526	-0.248	14.202	-5.874	1.88e-05	9.99e-05	0.243
"RGD1560353"	0.642	0.411	0.873	11.687	5.873	1.88e-05	1e-04	0.254
"Sctr"	2.264	1.45	3.078	5.107	5.873	1.88e-05	1e-04	0.075
"Rdh14"	-0.937	-1.274	-0.6	10.494	-5.872	1.89e-05	1e-04	0.524
"Ncoa2"	-0.49	-0.666	-0.314	7.227	-5.87	1.9e-05	0.000101	0.144
"Cyc1"	-0.538	-0.732	-0.345	13.203	-5.869	1.9e-05	0.000101	0.108
"Ipo11"	-0.51	-0.694	-0.327	8.554	-5.868	1.9e-05	0.000101	0.12
"Map3k3"	0.786	0.503	1.069	8.804	5.867	1.9e-05	0.000101	0.168
"Tmprss5"	-0.849	-1.154	-0.543	8.973	-5.867	1.9e-05	0.000101	0.116
"Zwint"	-1.169	-1.59	-0.748	15.59	-5.864	1.92e-05	0.000102	0.078
"Rnf165"	-1.158	-1.575	-0.741	6.693	-5.863	1.92e-05	0.000102	0.083
"Mycbp2"	-0.633	-0.861	-0.405	9.744	-5.86	1.93e-05	0.000102	0.114
"Tmem109"	0.597	0.382	0.813	8.007	5.86	1.93e-05	0.000102	0.082
"Folr1"	0.69	0.441	0.939	8.606	5.86	1.93e-05	0.000102	0.073
"Cnih2"	-1.084	-1.474	-0.693	8.478	-5.857	1.94e-05	0.000103	0.144
"Cartpt"	-1.54	-2.095	-0.984	9.523	-5.854	1.95e-05	0.000103	0.116
"LOC290453"	-0.64	-0.87	-0.409	9.716	-5.854	1.95e-05	0.000103	0.26
"Ctnna1"	0.962	0.615	1.308	11.994	5.854	1.95e-05	0.000103	0.095
"Mrpl15"	-0.593	-0.806	-0.379	11.634	-5.853	1.96e-05	0.000103	0.318
"RGD1561582"	-0.47	-0.639	-0.3	9.905	-5.853	1.96e-05	0.000103	0.085
"Tmbim6"	0.581	0.371	0.79	13.438	5.853	1.96e-05	0.000104	0.108
"Nin"	0.976	0.624	1.328	4.984	5.852	1.96e-05	0.000104	0.116
"Galnt9"	-1.719	-2.339	-1.099	8.097	-5.852	1.96e-05	0.000104	0.185
"Ina"	-2.132	-2.901	-1.363	13.367	-5.851	1.97e-05	0.000104	0.202
"Synj1"	-0.657	-0.895	-0.42	10.663	-5.85	1.97e-05	0.000104	0.14
"Myof"	1.5	0.959	2.042	8	5.844	1.99e-05	0.000105	0.484
"Adcy8"	-0.878	-1.196	-0.561	11.092	-5.844	1.99e-05	0.000105	0.609
"Rbm43"	1.684	1.075	2.292	6.715	5.842	2e-05	0.000105	0.802
"Actl6b"	-1.568	-2.135	-1.001	8.476	-5.841	2.01e-05	0.000106	0.367
"Map2"	-1.457	-1.983	-0.93	11.071	-5.841	2.01e-05	0.000106	0.137
"Rps5"	0.423	0.27	0.576	15.446	5.84	2.01e-05	0.000106	0.662
"Snca"	-1.032	-1.405	-0.659	10.18	-5.838	2.02e-05	0.000106	0.228
"Tiam1"	-1.263	-1.72	-0.806	6.967	-5.835	2.03e-05	0.000107	0.071
"Olfm3"	-2.255	-3.071	-1.439	8.182	-5.834	2.03e-05	0.000107	0.225
"Kif4b"	-1.344	-1.831	-0.858	4.536	-5.834	2.03e-05	0.000107	0.073
"Mbnl2"	-0.437	-0.595	-0.279	12.563	-5.833	2.04e-05	0.000107	0.097
"Gnmt"	-1.838	-2.503	-1.173	6.249	-5.832	2.04e-05	0.000107	0.133
"Rcn1"	0.823	0.525	1.121	10.012	5.832	2.04e-05	0.000107	0.219
"Slit3"	-0.925	-1.261	-0.59	10.303	-5.831	2.05e-05	0.000107	0.229
"Abca9"	1.344	0.857	1.83	5.66	5.828	2.06e-05	0.000108	0.142
"Edem2"	0.5	0.319	0.681	9.899	5.826	2.07e-05	0.000108	0.175
"LOC689615"	1.039	0.662	1.415	8.774	5.825	2.07e-05	0.000109	0.147
"Slc18a3"	-1.241	-1.691	-0.791	13.261	-5.823	2.08e-05	0.000109	0.101
"Ctdp1"	0.517	0.33	0.704	7.958	5.823	2.08e-05	0.000109	0.495
"Mapkapk3"	1.092	0.696	1.488	8.86	5.822	2.08e-05	0.000109	0.234
"Cdc37l1"	-0.54	-0.735	-0.344	9.571	-5.822	2.09e-05	0.000109	0.114
"Cenpq"	-0.81	-1.103	-0.516	8.317	-5.82	2.09e-05	0.000109	0.125
"Pcp4"	-1.895	-2.582	-1.208	13.713	-5.82	2.09e-05	0.000109	0.158
"Atp1a3"	-2.018	-2.75	-1.286	9.364	-5.82	2.09e-05	0.000109	0.109
"Zcchc12"	-1.223	-1.667	-0.779	9.002	-5.819	2.1e-05	0.00011	0.154
"Lamc3"	1.215	0.774	1.655	6.441	5.817	2.1e-05	0.00011	0.219
"Scnm1"	-0.342	-0.466	-0.218	10.318	-5.816	2.11e-05	0.00011	0.151
"Tarp"	2.33	1.484	3.176	4.655	5.815	2.11e-05	0.00011	0.059
"Usp35"	-0.726	-0.989	-0.462	8.091	-5.813	2.12e-05	0.000111	0.529
"Dgat2"	1.165	0.742	1.589	10	5.812	2.13e-05	0.000111	0.152
"Naglt1"	-1.352	-1.843	-0.861	4.746	-5.812	2.13e-05	0.000111	0.124
"Stk40"	0.558	0.355	0.761	9.037	5.812	2.13e-05	0.000111	0.201
"Adamts1"	1.244	0.792	1.695	8.267	5.811	2.13e-05	0.000111	0.087
