"Gene"	"logFC"	"CI.L"	"CI.R"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"se.coef"
"Galns"	1.035	0.423	1.647	3.692	3.569	0.00238	0.00591	0.16
"Sqstm1"	0.45	0.184	0.717	10.763	3.567	0.00239	0.00594	0.102
"Sass6"	-0.839	-1.335	-0.343	5.719	-3.567	0.00239	0.00594	0.075
"Alk"	1.009	0.412	1.606	5.072	3.566	0.0024	0.00596	0.88
"Frmd4b"	0.564	0.23	0.899	6.283	3.565	0.0024	0.00597	0.262
"Olr1541"	-1.335	-2.126	-0.544	2.356	-3.563	0.00241	0.00599	0.228
"Hsd11b1"	-0.871	-1.388	-0.355	11.641	-3.561	0.00242	0.00601	0.514
"Lgi4"	0.502	0.204	0.799	14.291	3.561	0.00242	0.00601	0.424
"Pnpt1"	-0.254	-0.405	-0.103	8.891	-3.561	0.00242	0.00602	0.198
"Snap29"	0.359	0.146	0.572	10.846	3.561	0.00242	0.00602	0.05
"Clspn"	1.229	0.5	1.958	4.072	3.557	0.00244	0.00606	0.133
"Pcbp2"	0.227	0.092	0.361	12.853	3.557	0.00244	0.00606	0.24
"Runx3"	1.288	0.524	2.052	9.777	3.556	0.00244	0.00607	0.235
"Rab5c"	0.515	0.209	0.821	13.554	3.556	0.00245	0.00608	0.165
"Gap43"	-0.54	-0.86	-0.219	14.442	-3.555	0.00245	0.00608	0.139
"Snx8"	0.593	0.241	0.945	8.457	3.555	0.00245	0.00609	0.19
"Sf3b4"	0.407	0.165	0.649	7.733	3.554	0.00246	0.00609	0.098
"Csde1"	-0.252	-0.401	-0.102	12.133	-3.554	0.00246	0.0061	0.07
"Igfn1"	-0.697	-1.111	-0.283	4.51	-3.552	0.00247	0.00612	0.097
"Rcan3"	0.363	0.147	0.578	7.788	3.552	0.00247	0.00612	0.103
"Amigo2"	-0.423	-0.674	-0.171	7.419	-3.548	0.00249	0.00618	0.418
"Slc37a4"	0.354	0.143	0.564	13.771	3.547	0.00249	0.00618	0.157
"Siglec5"	0.691	0.28	1.102	8.623	3.547	0.0025	0.00618	0.369
"Os9"	0.363	0.147	0.579	10.002	3.547	0.0025	0.00619	0.186
"Hadh"	0.347	0.14	0.553	12.013	3.547	0.0025	0.00619	0.372
"Cpt1c"	-0.383	-0.611	-0.155	10.902	-3.546	0.0025	0.0062	0.1
"Tmem128"	-0.319	-0.509	-0.129	12.887	-3.545	0.00251	0.0062	0.275
"RGD1565495"	0.436	0.177	0.696	11.539	3.545	0.00251	0.00621	0.575
"Rnd3"	0.511	0.207	0.816	7.774	3.545	0.00251	0.00621	0.062
"Rnf34"	-0.331	-0.529	-0.134	12.993	-3.544	0.00251	0.00622	0.074
"RGD1565056"	0.4	0.162	0.638	12.389	3.543	0.00251	0.00622	0.38
"Herc1"	-0.556	-0.888	-0.225	10.888	-3.542	0.00252	0.00625	0.102
"Csrp1"	0.442	0.178	0.705	14.042	3.541	0.00253	0.00625	0.343
"Ubqln4"	-0.429	-0.685	-0.173	8.719	-3.54	0.00253	0.00626	0.227
"Acacb"	1.264	0.51	2.018	4.379	3.538	0.00254	0.00629	0.367
"Gemin8"	-0.383	-0.611	-0.154	9.26	-3.537	0.00255	0.0063	0.419
"Coq6"	-0.359	-0.573	-0.145	11.794	-3.536	0.00255	0.00631	0.132
"Lztr1"	0.333	0.134	0.532	11.061	3.536	0.00255	0.00631	0.666
"Map7"	-0.492	-0.785	-0.198	11.041	-3.535	0.00256	0.00633	0.126
"Ppp3r1"	-0.665	-1.061	-0.268	9.026	-3.535	0.00256	0.00633	0.549
"Ltc4s"	0.71	0.286	1.134	9.401	3.534	0.00256	0.00634	0.482
"Nol4"	-0.991	-1.583	-0.399	4.691	-3.534	0.00257	0.00634	0.249
"Degs1"	-0.249	-0.397	-0.1	15.312	-3.533	0.00257	0.00635	0.744
"Prkca"	0.33	0.133	0.527	8.919	3.532	0.00258	0.00636	1.327
"RGD1559724"	0.481	0.193	0.768	13.553	3.529	0.00259	0.0064	0.15
"Taldo1"	0.249	0.1	0.397	15.606	3.527	0.0026	0.00643	0.185
"Pygb"	-0.383	-0.612	-0.154	13.173	-3.527	0.00261	0.00644	0.641
"Rad21"	-0.359	-0.575	-0.144	9.837	-3.525	0.00262	0.00646	0.081
"Izumo1"	-0.566	-0.905	-0.227	5.228	-3.524	0.00262	0.00647	0.104
"LOC691143"	0.774	0.311	1.238	8.195	3.524	0.00262	0.00647	0.059
"Ptma"	0.38	0.152	0.607	13.54	3.524	0.00262	0.00647	0.187
"Mk1"	0.43	0.172	0.687	10.565	3.524	0.00262	0.00647	0.123
"Cux2"	-0.324	-0.518	-0.13	6.489	-3.523	0.00263	0.00648	0.097
"Rfng"	-0.45	-0.72	-0.18	10.694	-3.523	0.00263	0.00648	0.136
"Eif5a"	0.511	0.205	0.817	13.889	3.522	0.00263	0.00649	0.065
"Gfi1b"	0.395	0.158	0.632	8.764	3.522	0.00263	0.00649	0.13
"Rtn4rl1"	-0.323	-0.516	-0.129	9.98	-3.522	0.00263	0.00649	0.108
"Fgf23"	0.951	0.381	1.521	3.732	3.522	0.00263	0.00649	0.145
"Supt4h1"	-0.31	-0.495	-0.124	10.567	-3.521	0.00264	0.0065	0.521
"Pm20d2"	0.384	0.154	0.613	8.319	3.521	0.00264	0.0065	0.125
"Cyp2s1"	-0.858	-1.372	-0.343	5.296	-3.52	0.00264	0.00651	0.132
"Erc2"	-0.977	-1.563	-0.391	4.798	-3.519	0.00265	0.00652	0.155
"Rpl31"	0.245	0.098	0.392	16.003	3.519	0.00265	0.00653	0.103
"Ackr4"	0.751	0.3	1.201	7.492	3.519	0.00265	0.00653	0.285
"Art1"	0.445	0.178	0.711	7.165	3.519	0.00265	0.00653	0.107
"Copa"	0.38	0.152	0.607	12.158	3.518	0.00265	0.00653	0.223
"Cdc6"	1.623	0.649	2.597	5.279	3.518	0.00266	0.00653	0.099
"Mxi1"	0.305	0.122	0.487	8.496	3.515	0.00267	0.00657	0.208
"Snx14"	-0.662	-1.059	-0.264	11.82	-3.514	0.00268	0.00659	0.13
"Fgd5"	-0.677	-1.083	-0.27	3.821	-3.513	0.00268	0.0066	0.206
"Ubxn6"	-0.351	-0.563	-0.14	11.818	-3.513	0.00268	0.0066	0.342
"Anapc1"	0.696	0.278	1.115	9.365	3.511	0.0027	0.00663	0.111
"Ppp1r10"	0.326	0.13	0.521	11.947	3.511	0.0027	0.00664	0.21
"Arx"	0.689	0.275	1.103	4.244	3.51	0.0027	0.00664	0.088
"Mutyh"	0.345	0.137	0.552	7.85	3.51	0.0027	0.00665	0.214
"Ascl1"	-0.45	-0.721	-0.179	8.066	-3.508	0.00271	0.00666	0.253
"Rpl3"	0.588	0.234	0.942	14.346	3.508	0.00271	0.00666	0.148
"Sytl5"	-1.085	-1.738	-0.432	6.178	-3.506	0.00273	0.0067	0.331
"Arf4"	0.295	0.117	0.472	13.422	3.503	0.00274	0.00673	0.141
"Syngr2"	0.31	0.123	0.498	11.278	3.503	0.00274	0.00673	0.166
"Mccc2"	-0.553	-0.886	-0.22	13.545	-3.502	0.00275	0.00675	0.188
"Cdkl4"	-1.111	-1.782	-0.441	4.999	-3.499	0.00277	0.00679	0.344
"Terc"	-0.96	-1.538	-0.381	5.646	-3.499	0.00277	0.0068	0.212
"Spata18"	0.594	0.236	0.952	6.544	3.498	0.00277	0.00681	0.184
"Kctd6"	-0.412	-0.662	-0.163	8.345	-3.496	0.00278	0.00683	0.12
"Rhbdf1"	0.649	0.257	1.041	10.519	3.496	0.00278	0.00683	0.093
"Arhgef5"	0.694	0.275	1.112	5.673	3.496	0.00279	0.00683	0.747
"Cbwd1"	-0.345	-0.553	-0.137	9.452	-3.496	0.00279	0.00683	0.615
"Dhx38"	0.246	0.097	0.394	13.921	3.495	0.00279	0.00685	0.095
"Cpb1"	-0.696	-1.116	-0.275	2.172	-3.494	0.0028	0.00686	0.31
"Elavl1"	0.402	0.159	0.645	9.003	3.494	0.0028	0.00687	0.215
"LOC502627"	0.777	0.308	1.247	11.464	3.493	0.00281	0.00688	0.144
"Cyp4b1"	1.469	0.581	2.356	6.062	3.492	0.00281	0.00688	0.049
"Kynu"	1.781	0.704	2.857	5.684	3.492	0.00281	0.00688	0.397
"Rfxank"	0.234	0.092	0.375	11.083	3.491	0.00281	0.00689	0.174
"Fkbp1a"	0.26	0.103	0.418	13.852	3.491	0.00282	0.0069	0.123
"Cntd1"	-0.456	-0.731	-0.18	6.584	-3.49	0.00282	0.00691	0.076
"Mal"	-1.206	-1.936	-0.477	11.73	-3.49	0.00282	0.00691	0.167
"Spred2"	-0.704	-1.13	-0.278	4.656	-3.49	0.00282	0.00691	0.205
"Ncam2"	-0.633	-1.016	-0.25	6.29	-3.489	0.00283	0.00693	0.357
"Gtpbp2"	0.456	0.18	0.732	9.427	3.487	0.00284	0.00696	0.104
"Hmga1"	-0.665	-1.068	-0.263	7.688	-3.486	0.00284	0.00696	0.174
"Pkig"	0.571	0.225	0.917	9.022	3.486	0.00285	0.00697	0.129
"Dnajc14"	0.43	0.169	0.691	8.62	3.483	0.00287	0.00701	0.076
"Kng2"	-1.759	-2.825	-0.693	2.767	-3.482	0.00287	0.00702	0.148
"Actl6a"	0.327	0.129	0.526	13.153	3.482	0.00287	0.00703	0.388
"Olr575"	0.71	0.279	1.14	6.971	3.48	0.00288	0.00705	0.164
"Wdr5"	0.638	0.251	1.025	8.329	3.48	0.00289	0.00705	0.073
"Mccc1"	0.3	0.118	0.481	13.401	3.48	0.00289	0.00706	0.059
"Btbd2"	-0.392	-0.63	-0.154	8.639	-3.479	0.00289	0.00706	0.15
"Ppp1cb"	-0.368	-0.591	-0.145	14.242	-3.479	0.00289	0.00707	0.13
"Dlgap2"	-1.469	-2.36	-0.577	5.577	-3.477	0.0029	0.00709	0.09
"Sh3yl1"	-0.34	-0.547	-0.134	8.988	-3.477	0.0029	0.00709	0.366
"Npr1"	0.421	0.165	0.676	13.592	3.477	0.0029	0.00709	0.149
"Rab24"	-0.305	-0.49	-0.12	13.433	-3.476	0.00291	0.00711	0.12
"Pcnt"	-0.281	-0.451	-0.11	7.794	-3.475	0.00291	0.00711	0.107
"Aspdh"	-1.212	-1.949	-0.476	5.243	-3.475	0.00292	0.00712	0.116
"Farp1"	0.469	0.184	0.754	7.349	3.474	0.00292	0.00713	0.16
"Haao"	0.712	0.279	1.145	5.961	3.472	0.00293	0.00715	0.306
"Zfp53"	0.372	0.146	0.598	9.417	3.472	0.00293	0.00715	0.365
"Iqce"	0.735	0.288	1.181	6.539	3.471	0.00294	0.00717	0.222
"Klf14"	-0.426	-0.686	-0.167	4.477	-3.47	0.00295	0.00718	0.188
"Sertad2"	0.642	0.251	1.033	11.854	3.468	0.00296	0.00721	0.167
"Oxr1"	-0.378	-0.609	-0.148	9.911	-3.467	0.00297	0.00724	0.109
"Xpnpep3"	0.565	0.221	0.909	5.5	3.466	0.00297	0.00724	0.238
"Polr3e"	0.275	0.108	0.443	10.628	3.466	0.00297	0.00725	0.781
"Pi4k2a"	-0.628	-1.011	-0.246	9.921	-3.465	0.00298	0.00726	0.164
"Ptcd3"	0.661	0.258	1.064	11.763	3.465	0.00298	0.00726	0.284
"Trdmt1"	0.344	0.135	0.554	8.347	3.464	0.00298	0.00727	0.098
"Btbd3"	-0.336	-0.541	-0.131	10.432	-3.464	0.00299	0.00727	0.406
"Mark2"	0.3	0.117	0.483	12.837	3.464	0.00299	0.00727	0.088
"LOC366355"	0.89	0.348	1.433	9.303	3.463	0.00299	0.00729	0.146
"Rasl10a"	0.434	0.169	0.698	9.359	3.462	0.003	0.0073	0.114
"RGD1562755"	0.277	0.108	0.447	12.408	3.462	0.003	0.0073	0.102
"Gmppa"	0.497	0.194	0.8	6.968	3.462	0.003	0.0073	0.203
"Klc3"	-0.808	-1.3	-0.315	6.412	-3.461	0.003	0.00731	0.158
"A4galt"	1.239	0.483	1.995	3.767	3.46	0.00301	0.00732	0.23
"Slc6a6"	0.454	0.177	0.731	9.484	3.46	0.00301	0.00732	0.338
"Csnk1d"	0.538	0.21	0.866	9.858	3.46	0.00301	0.00732	0.19
"Sult1b1"	-0.949	-1.528	-0.37	5.441	-3.46	0.00301	0.00732	0.076
"Clps"	-1.518	-2.444	-0.592	1.89	-3.46	0.00301	0.00732	0.13
"Tyr"	-1.375	-2.213	-0.536	3.99	-3.46	0.00301	0.00732	0.115
"LOC691254"	0.502	0.196	0.809	7.07	3.46	0.00301	0.00733	0.166
"Nup62cl"	-1.597	-2.571	-0.622	2.612	-3.459	0.00302	0.00734	0.083
"RT1-Ba"	1.035	0.403	1.666	5.177	3.458	0.00302	0.00734	0.091
"Cntn5"	-1.728	-2.784	-0.673	3.669	-3.457	0.00303	0.00736	0.19
"Syne1"	-0.503	-0.81	-0.196	8.685	-3.456	0.00304	0.00737	0.112
"Aig1"	0.33	0.129	0.532	11.856	3.456	0.00304	0.00737	0.201
"Cxcl3"	-0.56	-0.901	-0.218	3.607	-3.455	0.00304	0.00739	0.18
"Olr235"	-0.439	-0.708	-0.171	5.037	-3.455	0.00305	0.0074	0.177
"Igfbp1"	-0.286	-0.461	-0.111	7.713	-3.453	0.00306	0.00742	0.153
"Rab33b"	-0.549	-0.884	-0.213	5.801	-3.453	0.00306	0.00742	0.149
"Adnp2"	-0.285	-0.459	-0.111	10.644	-3.452	0.00307	0.00744	0.16
"Nhs"	-1.3	-2.095	-0.505	2.91	-3.451	0.00307	0.00745	0.2
"Becn1"	-0.273	-0.439	-0.106	11.879	-3.45	0.00307	0.00746	0.564
"Hsd17b12"	-0.583	-0.94	-0.226	11.748	-3.45	0.00307	0.00746	0.118
"Il15"	0.449	0.174	0.723	7.554	3.45	0.00308	0.00746	0.065
"RGD1304622"	0.557	0.216	0.899	5.772	3.449	0.00309	0.00748	0.091
"Gata6"	1.261	0.489	2.032	3.612	3.449	0.00309	0.00748	0.166
"Fbxo48"	-1.165	-1.879	-0.452	3.22	-3.448	0.00309	0.00749	0.09
"Mtmr1"	0.52	0.202	0.838	5.786	3.448	0.00309	0.00749	0.125
"Mprip"	0.375	0.145	0.604	12.876	3.448	0.00309	0.00749	0.09
"Fam83h"	0.612	0.237	0.987	5.193	3.447	0.0031	0.00751	0.122
"Slc4a2"	0.318	0.123	0.513	10.299	3.447	0.0031	0.00751	0.598
"Olr894"	1.432	0.555	2.309	3.285	3.446	0.0031	0.00751	0.114
"Grin2d"	1.112	0.431	1.793	13.515	3.446	0.0031	0.00751	0.3
"Slc28a2"	1.033	0.4	1.666	9.19	3.445	0.00311	0.00753	0.106
"Lilrb3l"	1.187	0.46	1.914	8.145	3.445	0.00311	0.00753	0.205
"Nfyb"	-0.264	-0.427	-0.102	8.122	-3.443	0.00312	0.00756	0.109
"Cdc73"	-0.555	-0.896	-0.215	7.831	-3.443	0.00312	0.00756	0.343
"Ugcg"	0.567	0.219	0.915	10.259	3.442	0.00313	0.00757	0.449
"Arl2"	-0.314	-0.507	-0.121	12.181	-3.442	0.00313	0.00757	0.314
"Sdf4"	0.617	0.239	0.995	13.845	3.441	0.00314	0.00758	0.161
"Acbd5"	-0.387	-0.624	-0.149	10.379	-3.44	0.00315	0.00761	0.11
"Ankrd27"	0.406	0.157	0.655	5.358	3.439	0.00315	0.00763	0.084
"Cxxc1"	0.267	0.103	0.43	10.707	3.438	0.00316	0.00764	0.323
"Ccdc50"	0.306	0.118	0.494	12.21	3.438	0.00316	0.00764	0.281
"Rab11fip1"	1.153	0.445	1.862	5.774	3.436	0.00317	0.00766	0.107
"Fabp3"	-0.382	-0.616	-0.147	9.581	-3.436	0.00317	0.00767	0.224
"Camk1"	0.539	0.208	0.87	9.887	3.435	0.00318	0.00767	0.129
"Tsc1"	-0.573	-0.925	-0.22	6.29	-3.43	0.00321	0.00775	0.298
"Cinp"	-0.398	-0.642	-0.153	8.666	-3.428	0.00323	0.00779	0.163
"Dcaf7"	0.245	0.094	0.396	12.286	3.428	0.00323	0.0078	0.097
"Acat1"	-0.492	-0.795	-0.189	10.871	-3.427	0.00323	0.00781	0.082
"Pcgf1"	-0.223	-0.36	-0.086	9.811	-3.427	0.00324	0.00781	0.153
"Abcb6"	-0.277	-0.448	-0.107	11.777	-3.426	0.00324	0.00782	0.086
"Rps24"	0.227	0.087	0.367	16.921	3.426	0.00324	0.00782	0.178
"Mgmt"	0.537	0.206	0.867	11.591	3.426	0.00324	0.00783	0.108
"Polr2c"	-0.263	-0.426	-0.101	11.614	-3.425	0.00325	0.00784	0.077
"Csnk1e"	0.271	0.104	0.439	8.845	3.424	0.00325	0.00785	0.169
"Slc38a3"	-0.412	-0.667	-0.158	8.611	-3.423	0.00326	0.00786	0.124
"Sec14l2"	-0.457	-0.739	-0.175	8.993	-3.423	0.00327	0.00787	0.125
"LOC502984"	-0.573	-0.926	-0.219	6.415	-3.422	0.00327	0.00788	0.148
"Rad23b"	-0.222	-0.359	-0.085	13.157	-3.422	0.00327	0.00788	0.122
"Dusp8"	0.876	0.336	1.416	16.113	3.422	0.00327	0.00788	0.14
"Dhrs11"	-0.272	-0.44	-0.104	7.793	-3.42	0.00329	0.00792	0.128
"RGD1561871"	0.447	0.171	0.723	13.748	3.419	0.00329	0.00792	0.218
"Esco2"	-0.573	-0.926	-0.219	5.442	-3.419	0.00329	0.00792	0.652
"Tbc1d23"	0.509	0.195	0.823	11.328	3.419	0.00329	0.00793	0.329
"Slc35a2"	-0.398	-0.643	-0.152	12.564	-3.418	0.0033	0.00794	0.104
"Bckdhb"	-0.35	-0.566	-0.134	8.959	-3.418	0.0033	0.00795	0.094
"Hectd1"	-0.273	-0.441	-0.104	9.887	-3.418	0.0033	0.00795	0.388
"LOC497848"	-0.489	-0.791	-0.187	5.605	-3.417	0.00331	0.00796	0.257
"RGD1305938"	-0.359	-0.581	-0.137	9.921	-3.416	0.00331	0.00798	0.117
"Olr1433"	-0.628	-1.017	-0.24	5.456	-3.415	0.00332	0.00799	0.067
"Tyms"	0.876	0.334	1.417	7.426	3.415	0.00332	0.00799	0.137
"Fbn2"	0.768	0.293	1.243	7.393	3.413	0.00333	0.00801	0.108
"Itm2a"	-0.63	-1.02	-0.24	13.047	-3.412	0.00334	0.00803	0.102
"Pde7a"	0.257	0.098	0.415	9.596	3.412	0.00334	0.00803	0.094
"Tgfbr3"	0.833	0.318	1.348	6.52	3.411	0.00335	0.00804	0.133
"Phkb"	-0.534	-0.864	-0.203	7.3	-3.411	0.00335	0.00805	0.067
"Tp53bp1"	-0.358	-0.58	-0.137	10.513	-3.41	0.00335	0.00806	0.191
"Use1"	0.224	0.085	0.362	14.397	3.409	0.00336	0.00808	0.719
"Scarf1"	0.758	0.288	1.227	6.832	3.407	0.00337	0.00811	0.098
"Cdk2"	0.517	0.196	0.837	7.799	3.404	0.0034	0.00816	0.537
"Coro1c"	0.504	0.191	0.817	11.198	3.403	0.0034	0.00817	0.173
"RGD1309540"	-0.225	-0.365	-0.086	12.693	-3.403	0.00341	0.00818	0.193
"Serpinf2"	1.005	0.382	1.628	5.588	3.403	0.00341	0.00818	0.172
"Polr3c"	-0.608	-0.985	-0.231	8.323	-3.401	0.00342	0.0082	0.2
"Acot8"	-0.428	-0.694	-0.163	7.948	-3.401	0.00342	0.00821	0.143
"Akap17b"	-0.358	-0.58	-0.136	7.527	-3.401	0.00342	0.00821	0.11
"Pax6"	0.67	0.254	1.085	9.885	3.401	0.00342	0.00822	0.146
"Fnta"	-0.258	-0.419	-0.098	12.919	-3.401	0.00342	0.00822	0.173
"Bcl6"	0.258	0.098	0.419	10.293	3.4	0.00343	0.00822	0.528
"Ubxn7"	0.64	0.242	1.037	7.575	3.399	0.00343	0.00823	0.219
"Gnpat"	-0.431	-0.698	-0.163	11.207	-3.399	0.00343	0.00824	0.465
"Golt1b"	-0.407	-0.66	-0.154	7.42	-3.399	0.00344	0.00824	0.231
"Plscr3"	0.294	0.111	0.477	10.779	3.398	0.00344	0.00825	0.076
"Uox"	-1.536	-2.49	-0.582	2.877	-3.398	0.00344	0.00825	0.693
"Capn7"	-0.437	-0.709	-0.166	7.984	-3.397	0.00345	0.00827	0.133
"Zyx"	0.376	0.142	0.609	11.881	3.395	0.00347	0.00831	0.115
"Lrrc38"	0.642	0.243	1.042	6.344	3.395	0.00347	0.00831	0.707
"Kcnc2"	-1.137	-1.844	-0.43	4.669	-3.393	0.00348	0.00833	0.109
"C3"	0.832	0.314	1.349	14.798	3.393	0.00348	0.00834	0.164
"Fank1"	0.527	0.199	0.855	6.23	3.392	0.00349	0.00835	0.145
"Chrna1"	-1.694	-2.748	-0.64	3.835	-3.391	0.0035	0.00837	0.205
"Mogat2"	-0.402	-0.653	-0.152	8.18	-3.391	0.0035	0.00837	0.249
"Kat5"	-0.262	-0.425	-0.099	11.52	-3.39	0.0035	0.00838	0.387
"Asf1a"	-0.401	-0.651	-0.151	9.562	-3.39	0.0035	0.00839	0.923
"Eif5"	-0.389	-0.632	-0.147	11.534	-3.39	0.00351	0.00839	0.106
"Pdzk1"	-0.492	-0.798	-0.185	5.007	-3.388	0.00352	0.00841	0.229
"LOC291138"	0.524	0.198	0.851	9.153	3.387	0.00352	0.00843	0.315
"Rtp3"	0.711	0.268	1.154	5.866	3.387	0.00353	0.00844	0.077
"Olr16"	-0.488	-0.792	-0.184	6.625	-3.386	0.00353	0.00845	0.129
"Nme2-ps1"	0.34	0.128	0.552	13.556	3.386	0.00354	0.00846	0.437
"Mtch1"	-0.425	-0.69	-0.16	16.762	-3.385	0.00354	0.00847	0.153
"Olr1455"	0.574	0.216	0.931	7.804	3.384	0.00355	0.00847	0.214
"Wnk1"	0.451	0.169	0.732	8.647	3.381	0.00357	0.00853	0.142
"Pmf1"	0.816	0.306	1.325	7.133	3.38	0.00358	0.00855	0.223
"Tnpo2"	-0.381	-0.62	-0.143	7.67	-3.38	0.00358	0.00855	0.121
"Htr2a"	-0.807	-1.311	-0.303	4.095	-3.38	0.00358	0.00856	0.393
"Fbf1"	0.523	0.196	0.849	7.902	3.38	0.00358	0.00856	0.111
"Rgs16"	1.016	0.381	1.651	3.681	3.379	0.00358	0.00856	0.069
"Tmem184b"	0.4	0.15	0.65	8.691	3.375	0.00362	0.00865	0.505
"Dpm1"	-0.302	-0.491	-0.113	12.579	-3.373	0.00363	0.00867	0.606
"Klk6"	-0.354	-0.575	-0.132	15.134	-3.372	0.00364	0.00869	0.69
"LOC367333"	2.423	0.907	3.94	2.844	3.372	0.00364	0.00869	0.584
"Kcnj16"	-0.46	-0.749	-0.172	11.305	-3.371	0.00365	0.0087	0.536
"Phc2"	0.411	0.154	0.668	9.652	3.371	0.00365	0.00871	0.386
"Irak2"	0.955	0.357	1.553	5.137	3.37	0.00366	0.00872	0.178
"Adprh"	-0.176	-0.286	-0.066	11.516	-3.37	0.00366	0.00873	0.326
"Fam151b"	-0.348	-0.566	-0.13	8.428	-3.37	0.00366	0.00873	0.856
"Oxct2a"	-0.838	-1.363	-0.313	4.512	-3.369	0.00366	0.00873	0.339
"Ippk"	-0.684	-1.113	-0.256	6.9	-3.369	0.00367	0.00875	0.316
"Esyt1"	0.564	0.211	0.918	9.976	3.368	0.00368	0.00876	0.674
"Sfpq"	0.302	0.113	0.492	12.08	3.368	0.00368	0.00876	0.097
"Decr1"	0.359	0.134	0.584	14.692	3.367	0.00368	0.00877	0.154
"Fen1"	-0.458	-0.745	-0.171	10.551	-3.367	0.00368	0.00877	0.102
"Drg1"	-0.574	-0.934	-0.214	8.6	-3.365	0.00369	0.0088	0.137
"Nmt2"	-0.507	-0.825	-0.189	9.013	-3.365	0.0037	0.0088	0.181
"Vps26b"	-0.237	-0.385	-0.088	10.718	-3.364	0.00371	0.00883	0.147
"Tubb2b"	-0.364	-0.593	-0.136	15.048	-3.364	0.00371	0.00883	0.712
"LOC316717"	-1.007	-1.64	-0.375	8.216	-3.363	0.00371	0.00883	0.298
"Pgf"	0.585	0.218	0.953	8.838	3.363	0.00371	0.00883	0.146
"Gpr101"	-1.633	-2.658	-0.608	3.188	-3.363	0.00371	0.00884	0.191
"Otp"	-0.984	-1.602	-0.366	3.272	-3.362	0.00372	0.00885	0.156
"Ptgr2"	-0.27	-0.44	-0.101	10.377	-3.362	0.00372	0.00885	0.113
"Hmgn3"	-0.416	-0.677	-0.155	12.782	-3.36	0.00374	0.00889	0.148
"Gtf2e1"	-0.538	-0.875	-0.2	5.653	-3.359	0.00375	0.00891	0.112
"Ubr7"	0.469	0.174	0.763	6.78	3.358	0.00375	0.00892	0.836
"RGD1563739"	0.608	0.226	0.99	8.102	3.358	0.00375	0.00892	0.551
"Atp6v0e2"	-0.439	-0.715	-0.163	11.125	-3.358	0.00375	0.00892	0.193
"Tbc1d4"	0.706	0.262	1.15	8.505	3.357	0.00376	0.00895	0.181
"Zbtb39"	0.602	0.224	0.981	7.665	3.356	0.00377	0.00895	0.318
"Per1"	0.844	0.313	1.374	8.306	3.356	0.00377	0.00896	0.066
"Olr854"	-1.072	-1.746	-0.398	1.804	-3.356	0.00377	0.00896	0.29
"Nfe2l3"	-0.903	-1.472	-0.335	7.881	-3.355	0.00378	0.00898	0.513
"Dpt"	2.016	0.748	3.285	7.464	3.354	0.00378	0.00899	0.39
"Mex3b"	-0.406	-0.662	-0.151	8.406	-3.354	0.00378	0.00899	0.127
"Selenon"	0.507	0.188	0.826	8.123	3.354	0.00379	0.009	0.414
"Etfdh"	0.313	0.116	0.511	10.947	3.353	0.00379	0.009	1.025
"Ints4"	0.45	0.167	0.733	9.407	3.353	0.00379	0.009	0.262
"Lhx5"	-1.102	-1.795	-0.408	4.219	-3.353	0.00379	0.009	0.425
"Napa"	-0.392	-0.64	-0.145	11.94	-3.352	0.0038	0.00902	0.194
"Map3k9"	-0.349	-0.569	-0.129	8.365	-3.352	0.0038	0.00902	0.11
"Kctd1"	0.443	0.164	0.723	11.008	3.351	0.00381	0.00904	0.248
"Heyl"	-0.351	-0.572	-0.13	6.718	-3.35	0.00382	0.00905	0.12
"Irs1"	0.481	0.178	0.785	4.922	3.35	0.00382	0.00906	0.223
"Crem"	-0.24	-0.391	-0.089	9.805	-3.35	0.00382	0.00906	0.157
"Klhl17"	-0.545	-0.888	-0.201	8.13	-3.349	0.00383	0.00908	0.114
"Grik5"	-0.498	-0.812	-0.184	9.385	-3.348	0.00383	0.00908	0.142
"Ap2a1"	-0.428	-0.699	-0.158	7.1	-3.348	0.00384	0.0091	0.167
"Mcam"	0.479	0.177	0.782	10.491	3.347	0.00384	0.0091	0.183
"Trim16"	-2.069	-3.374	-0.764	7.585	-3.347	0.00384	0.0091	0.186
"Pde6d"	-0.472	-0.769	-0.174	12.166	-3.346	0.00385	0.00912	0.291
"Arhgef15"	-0.497	-0.811	-0.184	7.5	-3.346	0.00385	0.00913	0.137
"Ivd"	0.552	0.204	0.901	12.517	3.346	0.00385	0.00913	0.232
"Klrb1c"	1.174	0.433	1.915	3.411	3.346	0.00385	0.00913	0.115
"Rpl4"	0.311	0.115	0.508	14.727	3.343	0.00388	0.00918	0.12
"Bckdk"	0.462	0.17	0.754	11.411	3.342	0.00389	0.00919	0.127
"Rln1"	-1.888	-3.081	-0.695	6.511	-3.341	0.0039	0.00922	0.114
"Brf2"	-0.428	-0.699	-0.158	7.666	-3.341	0.0039	0.00922	0.09
"LOC689530"	0.484	0.178	0.789	12.719	3.341	0.0039	0.00922	0.117
"Gpr1"	-1.909	-3.114	-0.703	3.177	-3.34	0.0039	0.00922	0.179
"Zfp438"	0.46	0.169	0.751	6.538	3.34	0.0039	0.00922	0.183
"Rufy2"	-0.275	-0.448	-0.101	8.476	-3.34	0.0039	0.00922	0.085
"COX2"	-0.417	-0.68	-0.153	16.156	-3.34	0.0039	0.00922	0.396
