"Gene"	"logFC"	"CI.L"	"CI.R"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"se.coef"
"Scrt1"	-2.432	-3.263	-1.602	5.381	-6.182	1.03e-05	5.01e-05	0.083
"Mbd6"	1.048	0.69	1.406	9.111	6.18	1.03e-05	5.02e-05	0.087
"RGD1307554"	-1.119	-1.501	-0.737	6.599	-6.178	1.04e-05	5.04e-05	0.132
"Usp40"	0.51	0.335	0.684	12.713	6.175	1.04e-05	5.07e-05	0.16
"Dhx36"	-0.72	-0.967	-0.474	8.724	-6.174	1.04e-05	5.07e-05	0.124
"Asb13"	-0.704	-0.945	-0.463	8.876	-6.173	1.05e-05	5.08e-05	0.499
"Adora1"	-0.694	-0.931	-0.457	12.533	-6.173	1.05e-05	5.08e-05	0.08
"Mov10"	0.761	0.501	1.022	9.779	6.17	1.05e-05	5.11e-05	0.391
"Zwint"	-1.214	-1.629	-0.798	15.59	-6.169	1.05e-05	5.12e-05	0.218
"Chst10"	-0.873	-1.172	-0.574	13.999	-6.169	1.05e-05	5.12e-05	0.457
"Mettl5"	-0.51	-0.685	-0.336	10.729	-6.167	1.06e-05	5.14e-05	0.132
"Gnal"	-1.484	-1.992	-0.976	7.413	-6.167	1.06e-05	5.14e-05	0.077
"Vstm2l"	-1.686	-2.264	-1.109	7.703	-6.163	1.07e-05	5.17e-05	0.22
"Derl1"	0.665	0.437	0.893	10.917	6.162	1.07e-05	5.18e-05	0.078
"Dhrs7b"	-0.527	-0.708	-0.347	10.986	-6.162	1.07e-05	5.18e-05	0.11
"Slc30a8"	-1.362	-1.829	-0.896	1.861	-6.161	1.07e-05	5.19e-05	0.124
"Pygo1"	-0.552	-0.741	-0.363	6.549	-6.16	1.07e-05	5.19e-05	0.077
"Clasp1"	-0.724	-0.972	-0.476	8.588	-6.16	1.07e-05	5.19e-05	0.089
"Rnf207"	-1.204	-1.617	-0.791	8.204	-6.158	1.08e-05	5.21e-05	0.09
"Psme2"	0.566	0.372	0.76	13.45	6.158	1.08e-05	5.21e-05	0.068
"Slc10a4"	-1.079	-1.449	-0.709	8.831	-6.157	1.08e-05	5.22e-05	0.187
"RGD1310852"	-0.648	-0.87	-0.426	9.812	-6.156	1.08e-05	5.23e-05	0.128
"Card10"	0.977	0.642	1.312	7.003	6.154	1.09e-05	5.25e-05	0.525
"Slc39a14"	0.668	0.439	0.898	7.427	6.154	1.08e-05	5.25e-05	0.195
"Ube2l6"	1.48	0.972	1.987	11.499	6.153	1.09e-05	5.25e-05	0.257
"Bin2"	1.497	0.983	2.01	8.67	6.152	1.09e-05	5.26e-05	0.11
"Cyp2t1"	0.699	0.459	0.938	8.468	6.151	1.09e-05	5.27e-05	0.115
"Fhod3"	-1.031	-1.385	-0.677	7.083	-6.151	1.09e-05	5.27e-05	0.342
"LOC103691468"	2.571	1.689	3.453	4.713	6.151	1.09e-05	5.27e-05	0.183
"LOC497940"	0.897	0.589	1.205	6.019	6.151	1.09e-05	5.27e-05	0.153
"Rpl34"	0.37	0.243	0.497	16.024	6.148	1.1e-05	5.29e-05	0.286
"Lsr"	1.609	1.056	2.161	7.756	6.148	1.1e-05	5.29e-05	0.129
"Slc30a9"	-0.8	-1.075	-0.525	9.6	-6.148	1.1e-05	5.29e-05	0.601
"Zfand3"	0.496	0.325	0.666	11.638	6.148	1.1e-05	5.29e-05	0.128
"Nipal4"	-1.359	-1.826	-0.892	5.659	-6.146	1.1e-05	5.31e-05	0.125
"Irak1bp1"	-0.475	-0.638	-0.312	8.127	-6.144	1.11e-05	5.33e-05	0.084
"Timm8a1"	-0.549	-0.738	-0.36	11.299	-6.143	1.11e-05	5.34e-05	0.081
"Syt17"	-1.337	-1.796	-0.877	7.928	-6.142	1.11e-05	5.34e-05	0.315
"Pdyn"	-1.032	-1.387	-0.677	11.346	-6.142	1.11e-05	5.35e-05	0.343
"Strn"	-0.558	-0.75	-0.366	6.758	-6.141	1.11e-05	5.35e-05	0.188
"Ttc23"	0.821	0.539	1.103	8.201	6.141	1.11e-05	5.35e-05	0.094
"Bid"	0.905	0.594	1.217	8.356	6.141	1.11e-05	5.35e-05	0.14
"Ikbke"	1.909	1.252	2.565	6.125	6.139	1.12e-05	5.37e-05	0.149
"Cxcl2"	3.447	2.262	4.632	7.014	6.138	1.12e-05	5.38e-05	0.134
"Fbxo34"	-0.661	-0.888	-0.434	8.697	-6.138	1.12e-05	5.38e-05	0.101
"Galnt9"	-1.778	-2.39	-1.167	8.097	-6.136	1.12e-05	5.39e-05	0.067
"Sgce"	0.554	0.364	0.745	13.2	6.134	1.13e-05	5.41e-05	0.181
"Cacng2"	-2.193	-2.948	-1.439	9.548	-6.133	1.13e-05	5.43e-05	0.101
"Defb1"	4.85	3.181	6.52	3.728	6.131	1.13e-05	5.44e-05	0.246
"Calr"	0.777	0.509	1.044	12.937	6.129	1.14e-05	5.46e-05	0.17
"Sbf1"	-0.582	-0.782	-0.381	12.419	-6.129	1.14e-05	5.46e-05	0.085
"Pde9a"	1.151	0.755	1.548	11.962	6.127	1.14e-05	5.48e-05	0.086
"Npas1"	-1.894	-2.546	-1.241	8.185	-6.126	1.15e-05	5.49e-05	0.929
"Ivns1abp"	-1.422	-1.911	-0.932	9.23	-6.125	1.15e-05	5.49e-05	0.367
"Kcnmb2"	-2.22	-2.985	-1.455	5.478	-6.124	1.15e-05	5.5e-05	0.373
"Pcdh7"	-1.009	-1.357	-0.661	11.484	-6.122	1.15e-05	5.52e-05	0.186
"Tcp1"	-0.422	-0.568	-0.277	13.003	-6.119	1.16e-05	5.56e-05	0.185
"Ctnna2"	-1.264	-1.699	-0.828	6.941	-6.118	1.16e-05	5.57e-05	0.125
"Pias1"	0.538	0.352	0.723	12.015	6.116	1.17e-05	5.58e-05	0.141
"Cdh17"	1.639	1.073	2.205	4.851	6.116	1.17e-05	5.58e-05	0.111
"Cacna1g"	-0.922	-1.24	-0.603	7.157	-6.115	1.17e-05	5.59e-05	0.38
"Ptrh2"	-0.592	-0.797	-0.388	10.398	-6.115	1.17e-05	5.59e-05	0.618
"Bcl2l2"	-0.396	-0.533	-0.259	9.389	-6.115	1.17e-05	5.59e-05	0.114
"Atp2b3"	-1.876	-2.524	-1.229	9.74	-6.114	1.17e-05	5.6e-05	0.262
"Csrp3"	1.905	1.247	2.563	7.33	6.114	1.17e-05	5.6e-05	0.339
"Slc6a11"	-1.125	-1.514	-0.737	6.467	-6.114	1.17e-05	5.6e-05	0.343
"Onecut1"	-2.857	-3.844	-1.871	4.845	-6.113	1.17e-05	5.6e-05	0.092
